freezer,rack,box,pos
B4,3,3,1
B5,3,3,1
B6,3,3,1
B7,3,3,1
B8,3,3,1
B9,3,3,1
B10,3,3,1
B11,3,3,1
B12,3,3,1
C1,3,3,1
C2,3,3,1
C3,3,3,1
C4,3,3,1
C5,3,3,1
C6,3,3,1
C7,3,3,1
C8,3,3,1
C9,3,3,1
C10,3,3,1
C11,3,3,1
C12,3,3,1
D1,3,3,1
D2,3,3,1
D3,3,3,1
D4,3,3,1
D5,3,3,1
D6,3,3,1
D7,3,3,1
D8,3,3,1
D9,3,3,1
D10,3,3,1
D11,3,3,1
D12,3,3,1
E1,3,3,1
E2,3,3,1
E3,3,3,1
E4,3,3,1
E5,3,3,1
E6,3,3,1
E7,3,3,1
E8,3,3,1
E9,3,3,1
E10,3,3,1
E11,3,3,1
E12,3,3,1
F1,3,3,1
F2,3,3,1
F3,3,3,1
F4,3,3,1
F5,3,3,1
F6,3,3,1
F7,3,3,1
F8,3,3,1
F9,3,3,1
F10,3,3,1
F11,3,3,1
F12,3,3,1
G1,3,3,1
G2,3,3,1
G3,3,3,1
G4,3,3,1
G5,3,3,1
G6,3,3,1
G7,3,3,1
G8,3,3,1
G9,3,3,1
G10,3,3,1
G11,3,3,1
G12,3,3,1
H1,3,3,1
H2,3,3,1
H3,3,3,1
H4,3,3,1
H5,3,3,1
H6,3,3,1
H7,3,3,1
H8,3,3,1
H9,3,3,1
H10,3,3,1
H11,3,3,1
H12,3,3,1
A1,4,3,1
A2,4,3,1
A3,4,3,1
A4,4,3,1
A5,4,3,1
A6,4,3,1
A7,4,3,1
A8,4,3,1
A9,4,3,1
A10,4,3,1
A11,4,3,1
A12,4,3,1
B1,4,3,1
B2,4,3,1
B3,4,3,1
B4,4,3,1
B5,4,3,1
B6,4,3,1
B7,4,3,1
B8,4,3,1
B9,4,3,1
B10,4,3,1
B11,4,3,1
B12,4,3,1
C1,4,3,1
C2,4,3,1
C3,4,3,1
C4,4,3,1
C5,4,3,1
C6,4,3,1
C7,4,3,1
C8,4,3,1
C9,4,3,1
C10,4,3,1
C11,4,3,1
C12,4,3,1
D1,4,3,1
D2,4,3,1
D3,4,3,1
D4,4,3,1
D5,4,3,1
D6,4,3,1
D7,4,3,1
D8,4,3,1
D9,4,3,1
D10,4,3,1
D11,4,3,1
D12,4,3,1
E1,4,3,1
E2,4,3,1
E3,4,3,1
E4,4,3,1
E5,4,3,1
E6,4,3,1
E7,4,3,1
E8,4,3,1
E9,4,3,1
E10,4,3,1
E11,4,3,1
E12,4,3,1
F1,4,3,1
F2,4,3,1
F3,4,3,1
F4,4,3,1
F5,4,3,1
F6,4,3,1
F7,4,3,1
F8,4,3,1
F9,4,3,1
F10,4,3,1
F11,4,3,1
F12,4,3,1
G1,4,3,1
G2,4,3,1
G3,4,3,1
G4,4,3,1
G5,4,3,1
G6,4,3,1
G7,4,3,1
G8,4,3,1
G9,4,3,1
G10,4,3,1
G11,4,3,1
G12,4,3,1
H1,4,3,1
H2,4,3,1
H3,4,3,1
H4,4,3,1
H5,4,3,1
H6,4,3,1
H7,4,3,1
H8,4,3,1
H9,4,3,1
H10,4,3,1
H11,4,3,1
H12,4,3,1
A1,5,3,1
A2,5,3,1
A3,5,3,1
A4,5,3,1
A5,5,3,1
A6,5,3,1
A7,5,3,1
A8,5,3,1
A9,5,3,1
A10,5,3,1
A11,5,3,1
A12,5,3,1
B1,5,3,1
B2,5,3,1
B3,5,3,1
B4,5,3,1
B5,5,3,1
B6,5,3,1
B7,5,3,1
B8,5,3,1
B9,5,3,1
B10,5,3,1
B11,5,3,1
B12,5,3,1
C1,5,3,1
C2,5,3,1
C3,5,3,1
C4,5,3,1
C5,5,3,1
C6,5,3,1
C7,5,3,1
C8,5,3,1
C9,5,3,1
C10,5,3,1
C11,5,3,1
C12,5,3,1
D1,5,3,1
D2,5,3,1
D3,5,3,1
D4,5,3,1
D5,5,3,1
D6,5,3,1
D7,5,3,1
D8,5,3,1
D9,5,3,1
D10,5,3,1
D11,5,3,1
D12,5,3,1
E1,5,3,1
E2,5,3,1
E3,5,3,1
E4,5,3,1
E5,5,3,1
E6,5,3,1
E7,5,3,1
E8,5,3,1
E9,5,3,1
E10,5,3,1
E11,5,3,1
E12,5,3,1
F1,5,3,1
F2,5,3,1
F3,5,3,1
F4,5,3,1
F5,5,3,1
F6,5,3,1
F7,5,3,1
F8,5,3,1
F9,5,3,1
F10,5,3,1
F11,5,3,1
F12,5,3,1
G1,5,3,1
G2,5,3,1
G3,5,3,1
G4,5,3,1
G5,5,3,1
G6,5,3,1
G7,5,3,1
G8,5,3,1
G9,5,3,1
G10,5,3,1
G11,5,3,1
G12,5,3,1
H1,5,3,1
H2,5,3,1
H3,5,3,1
H4,5,3,1
H5,5,3,1
H6,5,3,1
H7,5,3,1
H8,5,3,1
H9,5,3,1
H10,5,3,1
H11,5,3,1
H12,5,3,1
A1,6,3,1
A2,6,3,1
A3,6,3,1
A4,6,3,1
A5,6,3,1
A6,6,3,1
A7,6,3,1
A8,6,3,1
A9,6,3,1
A10,6,3,1
A11,6,3,1
A12,6,3,1
B1,6,3,1
B2,6,3,1
B3,6,3,1
B4,6,3,1
B5,6,3,1
B6,6,3,1
B7,6,3,1
B8,6,3,1
B9,6,3,1
B10,6,3,1
B11,6,3,1
B12,6,3,1
C1,6,3,1
C2,6,3,1
C3,6,3,1
C4,6,3,1
C5,6,3,1
C6,6,3,1
C7,6,3,1
C8,6,3,1
C9,6,3,1
C10,6,3,1
C11,6,3,1
C12,6,3,1
D1,6,3,1
D2,6,3,1
D3,6,3,1
D4,6,3,1
D5,6,3,1
D6,6,3,1
D7,6,3,1
D8,6,3,1
D9,6,3,1
D10,6,3,1
D11,6,3,1
D12,6,3,1
E1,6,3,1
E2,6,3,1
E3,6,3,1
E4,6,3,1
E5,6,3,1
E6,6,3,1
E7,6,3,1
E8,6,3,1
E9,6,3,1
E10,6,3,1
E11,6,3,1
E12,6,3,1
F1,6,3,1
F2,6,3,1
F3,6,3,1
F4,6,3,1
F5,6,3,1
F6,6,3,1
F7,6,3,1
F8,6,3,1
F9,6,3,1
F10,6,3,1
F11,6,3,1
F12,6,3,1
G1,6,3,1
G2,6,3,1
G3,6,3,1
G4,6,3,1
G5,6,3,1
G6,6,3,1
G7,6,3,1
G8,6,3,1
G9,6,3,1
G10,6,3,1
G11,6,3,1
G12,6,3,1
H1,6,3,1
H2,6,3,1
H3,6,3,1
H4,6,3,1
H5,6,3,1
H6,6,3,1
H7,6,3,1
H8,6,3,1
H9,6,3,1
H10,6,3,1
H11,6,3,1
H12,6,3,1
A1,7,3,1
A2,7,3,1
A3,7,3,1
A4,7,3,1
A5,7,3,1
A6,7,3,1
A7,7,3,1
A8,7,3,1
A9,7,3,1
A10,7,3,1
A11,7,3,1
A12,7,3,1
B1,7,3,1
B2,7,3,1
B3,7,3,1
B4,7,3,1
B5,7,3,1
B6,7,3,1
B7,7,3,1
B8,7,3,1
B9,7,3,1
B10,7,3,1
B11,7,3,1
B12,7,3,1
C1,7,3,1
C2,7,3,1
C3,7,3,1
C4,7,3,1
C5,7,3,1
C6,7,3,1
C7,7,3,1
C8,7,3,1
C9,7,3,1
C10,7,3,1
C11,7,3,1
C12,7,3,1
D1,7,3,1
D2,7,3,1
D3,7,3,1
D4,7,3,1
D5,7,3,1
D6,7,3,1
D7,7,3,1
D8,7,3,1
D9,7,3,1
D10,7,3,1
D11,7,3,1
D12,7,3,1
E1,7,3,1
E2,7,3,1
E3,7,3,1
E4,7,3,1
E5,7,3,1
E6,7,3,1
E7,7,3,1
E8,7,3,1
E9,7,3,1
E10,7,3,1
E11,7,3,1
E12,7,3,1
F1,7,3,1
F2,7,3,1
F3,7,3,1
F4,7,3,1
F5,7,3,1
F6,7,3,1
F7,7,3,1
F8,7,3,1
F9,7,3,1
F10,7,3,1
F11,7,3,1
F12,7,3,1
G1,7,3,1
G2,7,3,1
G3,7,3,1
G4,7,3,1
G5,7,3,1
G6,7,3,1
G7,7,3,1
G8,7,3,1
G9,7,3,1
G10,7,3,1
G11,7,3,1
G12,7,3,1
H1,7,3,1
H2,7,3,1
H3,7,3,1
H4,7,3,1
H5,7,3,1
H6,7,3,1
H7,7,3,1
H8,7,3,1
H9,7,3,1
H10,7,3,1
H11,7,3,1
H12,7,3,1
A1,1,4,1
A2,1,4,1
A3,1,4,1
A4,1,4,1
A5,1,4,1
A6,1,4,1
A7,1,4,1
A8,1,4,1
A9,1,4,1
A10,1,4,1
A11,1,4,1
A12,1,4,1
B1,1,4,1
B2,1,4,1
B3,1,4,1
B4,1,4,1
B5,1,4,1
B6,1,4,1
B7,1,4,1
B8,1,4,1
B9,1,4,1
B10,1,4,1
B11,1,4,1
B12,1,4,1
C1,1,4,1
C2,1,4,1
C3,1,4,1
C4,1,4,1
C5,1,4,1
C6,1,4,1
C7,1,4,1
C8,1,4,1
C9,1,4,1
C10,1,4,1
C11,1,4,1
C12,1,4,1
D1,1,4,1
D2,1,4,1
D3,1,4,1
D4,1,4,1
D5,1,4,1
D6,1,4,1
D7,1,4,1
D8,1,4,1
D9,1,4,1
D10,1,4,1
D11,1,4,1
D12,1,4,1
E1,1,4,1
E2,1,4,1
E3,1,4,1
E4,1,4,1
E5,1,4,1
E6,1,4,1
E7,1,4,1
E8,1,4,1
E9,1,4,1
E10,1,4,1
E11,1,4,1
E12,1,4,1
F1,1,4,1
F2,1,4,1
F3,1,4,1
F4,1,4,1
F5,1,4,1
F6,1,4,1
F7,1,4,1
F8,1,4,1
F9,1,4,1
F10,1,4,1
F11,1,4,1
F12,1,4,1
G1,1,4,1
G2,1,4,1
G3,1,4,1
G4,1,4,1
G5,1,4,1
G6,1,4,1
G7,1,4,1
G8,1,4,1
G9,1,4,1
G10,1,4,1
G11,1,4,1
G12,1,4,1
H1,1,4,1
H2,1,4,1
H3,1,4,1
H4,1,4,1
H5,1,4,1
H6,1,4,1
H7,1,4,1
H8,1,4,1
H9,1,4,1
H10,1,4,1
H11,1,4,1
H12,1,4,1
A1,2,4,1
A2,2,4,1
A3,2,4,1
A4,2,4,1
A5,2,4,1
A6,2,4,1
A7,2,4,1
A8,2,4,1
A9,2,4,1
A10,2,4,1
A11,2,4,1
A12,2,4,1
B1,2,4,1
B2,2,4,1
B3,2,4,1
B4,2,4,1
B5,2,4,1
B6,2,4,1
B7,2,4,1
B8,2,4,1
B9,2,4,1
B10,2,4,1
B11,2,4,1
B12,2,4,1
C1,2,4,1
C2,2,4,1
C3,2,4,1
C4,2,4,1
C5,2,4,1
C6,2,4,1
C7,2,4,1
C8,2,4,1
C9,2,4,1
C10,2,4,1
C11,2,4,1
C12,2,4,1
D1,2,4,1
D2,2,4,1
D3,2,4,1
D4,2,4,1
D5,2,4,1
D6,2,4,1
D7,2,4,1
D8,2,4,1
D9,2,4,1
D10,2,4,1
D11,2,4,1
D12,2,4,1
E1,2,4,1
E2,2,4,1
E3,2,4,1
E4,2,4,1
E5,2,4,1
E6,2,4,1
E7,2,4,1
E8,2,4,1
E9,2,4,1
E10,2,4,1
E11,2,4,1
E12,2,4,1
F1,2,4,1
F2,2,4,1
F3,2,4,1
F4,2,4,1
F5,2,4,1
F6,2,4,1
F7,2,4,1
F8,2,4,1
F9,2,4,1
F10,2,4,1
F11,2,4,1
F12,2,4,1
G1,2,4,1
G2,2,4,1
G3,2,4,1
G4,2,4,1
G5,2,4,1
G6,2,4,1
G7,2,4,1
G8,2,4,1
G9,2,4,1
G10,2,4,1
G11,2,4,1
G12,2,4,1
H1,2,4,1
H2,2,4,1
H3,2,4,1
H4,2,4,1
H5,2,4,1
H6,2,4,1
H7,2,4,1
H8,2,4,1
H9,2,4,1
H10,2,4,1
H11,2,4,1
H12,2,4,1
A1,3,4,1
A2,3,4,1
A3,3,4,1
A4,3,4,1
A5,3,4,1
A6,3,4,1
A7,3,4,1
A8,3,4,1
A9,3,4,1
A10,3,4,1
A11,3,4,1
A12,3,4,1
B1,3,4,1
B2,3,4,1
B3,3,4,1
B4,3,4,1
B5,3,4,1
B6,3,4,1
B7,3,4,1
B8,3,4,1
B9,3,4,1
B10,3,4,1
B11,3,4,1
B12,3,4,1
C1,3,4,1
C2,3,4,1
C3,3,4,1
C4,3,4,1
C5,3,4,1
C6,3,4,1
C7,3,4,1
C8,3,4,1
C9,3,4,1
C10,3,4,1
C11,3,4,1
C12,3,4,1
D1,3,4,1
D2,3,4,1
D3,3,4,1
D4,3,4,1
D5,3,4,1
D6,3,4,1
D7,3,4,1
D8,3,4,1
D9,3,4,1
D10,3,4,1
D11,3,4,1
D12,3,4,1
E1,3,4,1
E2,3,4,1
E3,3,4,1
E4,3,4,1
E5,3,4,1
E6,3,4,1
E7,3,4,1
E8,3,4,1
E9,3,4,1
E10,3,4,1
E11,3,4,1
E12,3,4,1
F1,3,4,1
F2,3,4,1
F3,3,4,1
F4,3,4,1
F5,3,4,1
F6,3,4,1
F7,3,4,1
F8,3,4,1
F9,3,4,1
F10,3,4,1
F11,3,4,1
F12,3,4,1
G1,3,4,1
G2,3,4,1
G3,3,4,1
G4,3,4,1
G5,3,4,1
G6,3,4,1
G7,3,4,1
G8,3,4,1
G9,3,4,1
G10,3,4,1
G11,3,4,1
G12,3,4,1
H1,3,4,1
H2,3,4,1
H3,3,4,1
H4,3,4,1
H5,3,4,1
H6,3,4,1
H7,3,4,1
H8,3,4,1
H9,3,4,1
H10,3,4,1
H11,3,4,1
H12,3,4,1
A1,4,4,1
A2,4,4,1
A3,4,4,1
A4,4,4,1
A5,4,4,1
A6,4,4,1
A7,4,4,1
A8,4,4,1
A9,4,4,1
A10,4,4,1
A11,4,4,1
A12,4,4,1
B1,4,4,1
B2,4,4,1
B3,4,4,1
B4,4,4,1
B5,4,4,1
B6,4,4,1
B7,4,4,1
B8,4,4,1
B9,4,4,1
B10,4,4,1
B11,4,4,1
B12,4,4,1
C1,4,4,1
C2,4,4,1
C3,4,4,1
C4,4,4,1
C5,4,4,1
C6,4,4,1
C7,4,4,1
C8,4,4,1
C9,4,4,1
C10,4,4,1
C11,4,4,1
C12,4,4,1
D1,4,4,1
D2,4,4,1
D3,4,4,1
D4,4,4,1
D5,4,4,1
D6,4,4,1
D7,4,4,1
D8,4,4,1
D9,4,4,1
D10,4,4,1
D11,4,4,1
D12,4,4,1
E1,4,4,1
E2,4,4,1
E3,4,4,1
E4,4,4,1
E5,4,4,1
E6,4,4,1
E7,4,4,1
E8,4,4,1
E9,4,4,1
E10,4,4,1
E11,4,4,1
E12,4,4,1
F1,4,4,1
F2,4,4,1
F3,4,4,1
F4,4,4,1
F5,4,4,1
F6,4,4,1
F7,4,4,1
F8,4,4,1
F9,4,4,1
F10,4,4,1
F11,4,4,1
F12,4,4,1
G1,4,4,1
G2,4,4,1
G3,4,4,1
G4,4,4,1
G5,4,4,1
G6,4,4,1
G7,4,4,1
G8,4,4,1
G9,4,4,1
G10,4,4,1
G11,4,4,1
G12,4,4,1
H1,4,4,1
H2,4,4,1
H3,4,4,1
H4,4,4,1
H5,4,4,1
H6,4,4,1
H7,4,4,1
H8,4,4,1
H9,4,4,1
H10,4,4,1
H11,4,4,1
H12,4,4,1
A1,5,4,1
A2,5,4,1
A3,5,4,1
A4,5,4,1
A5,5,4,1
A6,5,4,1
A7,5,4,1
A8,5,4,1
A9,5,4,1
A10,5,4,1
A11,5,4,1
A12,5,4,1
B1,5,4,1
B2,5,4,1
B3,5,4,1
B4,5,4,1
B5,5,4,1
B6,5,4,1
B7,5,4,1
B8,5,4,1
B9,5,4,1
B10,5,4,1
B11,5,4,1
B12,5,4,1
C1,5,4,1
C2,5,4,1
C3,5,4,1
C4,5,4,1
C5,5,4,1
C6,5,4,1
C7,5,4,1
C8,5,4,1
C9,5,4,1
C10,5,4,1
C11,5,4,1
C12,5,4,1
D1,5,4,1
D2,5,4,1
D3,5,4,1
D4,5,4,1
D5,5,4,1
D6,5,4,1
D7,5,4,1
D8,5,4,1
D9,5,4,1
D10,5,4,1
D11,5,4,1
D12,5,4,1
E1,5,4,1
E2,5,4,1
E3,5,4,1
E4,5,4,1
E5,5,4,1
E6,5,4,1
E7,5,4,1
E8,5,4,1
E9,5,4,1
E10,5,4,1
E11,5,4,1
E12,5,4,1
F1,5,4,1
F2,5,4,1
F3,5,4,1
F4,5,4,1
F5,5,4,1
F6,5,4,1
F7,5,4,1
F8,5,4,1
F9,5,4,1
F10,5,4,1
F11,5,4,1
F12,5,4,1
G1,5,4,1
G2,5,4,1
G3,5,4,1
G4,5,4,1
G5,5,4,1
G6,5,4,1
G7,5,4,1
G8,5,4,1
G9,5,4,1
G10,5,4,1
G11,5,4,1
G12,5,4,1
H1,5,4,1
H2,5,4,1
H3,5,4,1
H4,5,4,1
H5,5,4,1
H6,5,4,1
H7,5,4,1
H8,5,4,1
H9,5,4,1
H10,5,4,1
H11,5,4,1
H12,5,4,1
A1,6,4,1
A2,6,4,1
A3,6,4,1
A4,6,4,1
A5,6,4,1
A6,6,4,1
A7,6,4,1
A8,6,4,1
A9,6,4,1
A10,6,4,1
A11,6,4,1
A12,6,4,1
B1,6,4,1
B2,6,4,1
B3,6,4,1
B4,6,4,1
B5,6,4,1
B6,6,4,1
B7,6,4,1
B8,6,4,1
B9,6,4,1
B10,6,4,1
B11,6,4,1
B12,6,4,1
C1,6,4,1
C2,6,4,1
C3,6,4,1
C4,6,4,1
C5,6,4,1
C6,6,4,1
C7,6,4,1
C8,6,4,1
C9,6,4,1
C10,6,4,1
C11,6,4,1
C12,6,4,1
D1,6,4,1
D2,6,4,1
D3,6,4,1
D4,6,4,1
D5,6,4,1
D6,6,4,1
D7,6,4,1
D8,6,4,1
D9,6,4,1
D10,6,4,1
D11,6,4,1
D12,6,4,1
E1,6,4,1
E2,6,4,1
E3,6,4,1
E4,6,4,1
E5,6,4,1
E6,6,4,1
E7,6,4,1
E8,6,4,1
E9,6,4,1
E10,6,4,1
E11,6,4,1
E12,6,4,1
F1,6,4,1
F2,6,4,1
F3,6,4,1
F4,6,4,1
F5,6,4,1
F6,6,4,1
F7,6,4,1
F8,6,4,1
F9,6,4,1
F10,6,4,1
F11,6,4,1
F12,6,4,1
G1,6,4,1
G2,6,4,1
G3,6,4,1
G4,6,4,1
G5,6,4,1
G6,6,4,1
G7,6,4,1
G8,6,4,1
G9,6,4,1
G10,6,4,1
G11,6,4,1
G12,6,4,1
H1,6,4,1
H2,6,4,1
H3,6,4,1
H4,6,4,1
H5,6,4,1
H6,6,4,1
H7,6,4,1
H8,6,4,1
H9,6,4,1
H10,6,4,1
H11,6,4,1
H12,6,4,1
A1,7,4,1
A2,7,4,1
A3,7,4,1
A4,7,4,1
A5,7,4,1
A6,7,4,1
A7,7,4,1
A8,7,4,1
A9,7,4,1
A10,7,4,1
A11,7,4,1
A12,7,4,1
B1,7,4,1
B2,7,4,1
B3,7,4,1
B4,7,4,1
B5,7,4,1
B6,7,4,1
B7,7,4,1
B8,7,4,1
B9,7,4,1
B10,7,4,1
B11,7,4,1
B12,7,4,1
C1,7,4,1
C2,7,4,1
C3,7,4,1
C4,7,4,1
C5,7,4,1
C6,7,4,1
C7,7,4,1
C8,7,4,1
C9,7,4,1
C10,7,4,1
C11,7,4,1
C12,7,4,1
D1,7,4,1
D2,7,4,1
D3,7,4,1
D4,7,4,1
D5,7,4,1
D6,7,4,1
D7,7,4,1
D8,7,4,1
D9,7,4,1
D10,7,4,1
D11,7,4,1
D12,7,4,1
E1,7,4,1
E2,7,4,1
E3,7,4,1
E4,7,4,1
E5,7,4,1
E6,7,4,1
E7,7,4,1
E8,7,4,1
E9,7,4,1
E10,7,4,1
E11,7,4,1
E12,7,4,1
F1,7,4,1
F2,7,4,1
F3,7,4,1
F4,7,4,1
F5,7,4,1
F6,7,4,1
F7,7,4,1
F8,7,4,1
F9,7,4,1
F10,7,4,1
F11,7,4,1
F12,7,4,1
G1,7,4,1
G2,7,4,1
G3,7,4,1
G4,7,4,1
G5,7,4,1
G6,7,4,1
G7,7,4,1
G8,7,4,1
G9,7,4,1
G10,7,4,1
G11,7,4,1
G12,7,4,1
H1,7,4,1
H2,7,4,1
H3,7,4,1
H4,7,4,1
H5,7,4,1
H6,7,4,1
H7,7,4,1
H8,7,4,1
H9,7,4,1
H10,7,4,1
H11,7,4,1
H12,7,4,1
A1,1,5,1
A2,1,5,1
A3,1,5,1
A4,1,5,1
A5,1,5,1
A6,1,5,1
A7,1,5,1
A8,1,5,1
A9,1,5,1
A10,1,5,1
A11,1,5,1
A12,1,5,1
B1,1,5,1
B2,1,5,1
B3,1,5,1
B4,1,5,1
B5,1,5,1
B6,1,5,1
B7,1,5,1
B8,1,5,1
B9,1,5,1
B10,1,5,1
B11,1,5,1
B12,1,5,1
C1,1,5,1
C2,1,5,1
C3,1,5,1
C4,1,5,1
C5,1,5,1
C6,1,5,1
C7,1,5,1
C8,1,5,1
C9,1,5,1
C10,1,5,1
C11,1,5,1
C12,1,5,1
D1,1,5,1
D2,1,5,1
D3,1,5,1
D4,1,5,1
D5,1,5,1
D6,1,5,1
D7,1,5,1
D8,1,5,1
D9,1,5,1
D10,1,5,1
D11,1,5,1
D12,1,5,1
E1,1,5,1
E2,1,5,1
E3,1,5,1
E4,1,5,1
E5,1,5,1
E6,1,5,1
E7,1,5,1
E8,1,5,1
E9,1,5,1
E10,1,5,1
E11,1,5,1
E12,1,5,1
F1,1,5,1
F2,1,5,1
F3,1,5,1
F4,1,5,1
F5,1,5,1
F6,1,5,1
F7,1,5,1
F8,1,5,1
F9,1,5,1
F10,1,5,1
F11,1,5,1
F12,1,5,1
G1,1,5,1
G2,1,5,1
G3,1,5,1
G4,1,5,1
G5,1,5,1
G6,1,5,1
G7,1,5,1
G8,1,5,1
G9,1,5,1
G10,1,5,1
G11,1,5,1
G12,1,5,1
H1,1,5,1
H2,1,5,1
H3,1,5,1
H4,1,5,1
H5,1,5,1
H6,1,5,1
H7,1,5,1
H8,1,5,1
H9,1,5,1
H10,1,5,1
H11,1,5,1
H12,1,5,1
A1,2,5,1
A2,2,5,1
A3,2,5,1
A4,2,5,1
A5,2,5,1
A6,2,5,1
A7,2,5,1
A8,2,5,1
A9,2,5,1
A10,2,5,1
A11,2,5,1
A12,2,5,1
B1,2,5,1
B2,2,5,1
B3,2,5,1
B4,2,5,1
B5,2,5,1
B6,2,5,1
B7,2,5,1
B8,2,5,1
B9,2,5,1
B10,2,5,1
B11,2,5,1
B12,2,5,1
C1,2,5,1
C2,2,5,1
C3,2,5,1
C4,2,5,1
C5,2,5,1
C6,2,5,1
C7,2,5,1
C8,2,5,1
C9,2,5,1
C10,2,5,1
C11,2,5,1
C12,2,5,1
D1,2,5,1
D2,2,5,1
D3,2,5,1
D4,2,5,1
D5,2,5,1
D6,2,5,1
D7,2,5,1
D8,2,5,1
D9,2,5,1
D10,2,5,1
D11,2,5,1
D12,2,5,1
E1,2,5,1
E2,2,5,1
E3,2,5,1
E4,2,5,1
E5,2,5,1
E6,2,5,1
E7,2,5,1
E8,2,5,1
E9,2,5,1
E10,2,5,1
E11,2,5,1
E12,2,5,1
F1,2,5,1
F2,2,5,1
F3,2,5,1
F4,2,5,1
F5,2,5,1
F6,2,5,1
F7,2,5,1
F8,2,5,1
F9,2,5,1
F10,2,5,1
F11,2,5,1
F12,2,5,1
G1,2,5,1
G2,2,5,1
G3,2,5,1
G4,2,5,1
G5,2,5,1
G6,2,5,1
G7,2,5,1
G8,2,5,1
G9,2,5,1
G10,2,5,1
G11,2,5,1
G12,2,5,1
H1,2,5,1
H2,2,5,1
H3,2,5,1
H4,2,5,1
H5,2,5,1
H6,2,5,1
H7,2,5,1
H8,2,5,1
H9,2,5,1
H10,2,5,1
H11,2,5,1
H12,2,5,1
A1,3,5,1
A2,3,5,1
A3,3,5,1
A4,3,5,1
A5,3,5,1
A6,3,5,1
A7,3,5,1
A8,3,5,1
A9,3,5,1
A10,3,5,1
A11,3,5,1
A12,3,5,1
B1,3,5,1
B2,3,5,1
B3,3,5,1
B4,3,5,1
B5,3,5,1
B6,3,5,1
B7,3,5,1
B8,3,5,1
B9,3,5,1
B10,3,5,1
B11,3,5,1
B12,3,5,1
C1,3,5,1
C2,3,5,1
C3,3,5,1
C4,3,5,1
C5,3,5,1
C6,3,5,1
C7,3,5,1
C8,3,5,1
C9,3,5,1
C10,3,5,1
C11,3,5,1
C12,3,5,1
D1,3,5,1
D2,3,5,1
D3,3,5,1
D4,3,5,1
D5,3,5,1
D6,3,5,1
D7,3,5,1
D8,3,5,1
D9,3,5,1
D10,3,5,1
D11,3,5,1
D12,3,5,1
E1,3,5,1
E2,3,5,1
E3,3,5,1
E4,3,5,1
E5,3,5,1
E6,3,5,1
E7,3,5,1
E8,3,5,1
E9,3,5,1
E10,3,5,1
E11,3,5,1
E12,3,5,1
F1,3,5,1
F2,3,5,1
F3,3,5,1
F4,3,5,1
F5,3,5,1
F6,3,5,1
F7,3,5,1
F8,3,5,1
F9,3,5,1
F10,3,5,1
F11,3,5,1
F12,3,5,1
G1,3,5,1
G2,3,5,1
G3,3,5,1
G4,3,5,1
G5,3,5,1
G6,3,5,1
G7,3,5,1
G8,3,5,1
G9,3,5,1
G10,3,5,1
G11,3,5,1
G12,3,5,1
H1,3,5,1
H2,3,5,1
H3,3,5,1
H4,3,5,1
H5,3,5,1
H6,3,5,1
H7,3,5,1
H8,3,5,1
H9,3,5,1
H10,3,5,1
H11,3,5,1
H12,3,5,1
A1,4,5,1
A2,4,5,1
A3,4,5,1
A4,4,5,1
A5,4,5,1
A6,4,5,1
A7,4,5,1
A8,4,5,1
A9,4,5,1
A10,4,5,1
A11,4,5,1
A12,4,5,1
B1,4,5,1
B2,4,5,1
B3,4,5,1
B4,4,5,1
B5,4,5,1
B6,4,5,1
B7,4,5,1
B8,4,5,1
B9,4,5,1
B10,4,5,1
B11,4,5,1
B12,4,5,1
C1,4,5,1
C2,4,5,1
C3,4,5,1
C4,4,5,1
C5,4,5,1
C6,4,5,1
C7,4,5,1
C8,4,5,1
C9,4,5,1
C10,4,5,1
C11,4,5,1
C12,4,5,1
D1,4,5,1
D2,4,5,1
D3,4,5,1
D4,4,5,1
D5,4,5,1
D6,4,5,1
D7,4,5,1
D8,4,5,1
D9,4,5,1
D10,4,5,1
D11,4,5,1
D12,4,5,1
E1,4,5,1
E2,4,5,1
E3,4,5,1
E4,4,5,1
E5,4,5,1
E6,4,5,1
E7,4,5,1
E8,4,5,1
E9,4,5,1
E10,4,5,1
E11,4,5,1
E12,4,5,1
F1,4,5,1
F2,4,5,1
F3,4,5,1
F4,4,5,1
F5,4,5,1
F6,4,5,1
F7,4,5,1
F8,4,5,1
F9,4,5,1
F10,4,5,1
F11,4,5,1
F12,4,5,1
G1,4,5,1
G2,4,5,1
G3,4,5,1
G4,4,5,1
G5,4,5,1
G6,4,5,1
G7,4,5,1
G8,4,5,1
G9,4,5,1
G10,4,5,1
G11,4,5,1
G12,4,5,1
H1,4,5,1
H2,4,5,1
H3,4,5,1
H4,4,5,1
H5,4,5,1
H6,4,5,1
H7,4,5,1
H8,4,5,1
H9,4,5,1
H10,4,5,1
H11,4,5,1
H12,4,5,1
A1,5,5,1
A2,5,5,1
A3,5,5,1
A4,5,5,1
A5,5,5,1
A6,5,5,1
A7,5,5,1
A8,5,5,1
A9,5,5,1
A10,5,5,1
A11,5,5,1
A12,5,5,1
B1,5,5,1
B2,5,5,1
B3,5,5,1
B4,5,5,1
B5,5,5,1
B6,5,5,1
B7,5,5,1
B8,5,5,1
B9,5,5,1
B10,5,5,1
B11,5,5,1
B12,5,5,1
C1,5,5,1
C2,5,5,1
C3,5,5,1
C4,5,5,1
C5,5,5,1
C6,5,5,1
C7,5,5,1
C8,5,5,1
C9,5,5,1
